Species	Status	min_age	max_age
Erosaria_(Erosaria)_sabahensis	extant	0.0117	5.333
Erronea_(Adusta)_cowiei	extant	0.0117	5.333
Erronea_(Adusta)_posewitzi	extant	0.0117	5.333
Erosaria_(Erosaria)_sabahensis	extant	0.0117	5.333
Erronea_(Adusta)_cowiei	extant	0.0117	5.333
Erronea_(Adusta)_posewitzi	extant	0.0117	5.333
Umbilia_(Umbilia)_siphonata	extinct	11.63	15.98
Umbilia_(Umbilia)_hesitata	extant	5.333	11.63
Umbilia_(Umbilia)_siphonata	extinct	5.333	11.63
Umbilia_(Umbilia)_eximia	extinct	11.63	15.98
Umbilia_(Umbilia)_leptorhyncha	extinct	11.63	15.98
Umbilia_(Umbilia)_hesitata	extant	5.333	11.63
Umbilia_(Umbilia)_angustior	extinct	15.98	23.04
Umbilia_(Umbilia)_eximia	extinct	15.98	23.04
Umbilia_(Umbilia)_siphonata	extinct	11.63	15.98
Umbilia_(Umbilia)_eximia	extinct	11.63	15.98
Umbilia_(Umbilia)_siphonata	extinct	11.63	15.98
Umbilia_(Umbilia)_prosila	extinct	23.04	27.03
Umbilia_(Umbilia)_eximia	extinct	15.98	23.04
Umbilia_(Umbilia)_eximia	extinct	11.63	15.98
Umbilia_(Umbilia)_leptorhyncha	extinct	11.63	15.98
Umbilia_(Umbilia)_siphonata	extinct	11.63	15.98
Umbilia_(Palliocypraea)_gastroplax	extinct	11.63	15.98
Austrocypraea_contusa	extinct	11.63	15.98
Umbilia_(Umbilia)_hesitata	extant	5.333	11.63
Umbilia_(Umbilia)_platyrhyncha	extinct	23.04	27.03
Umbilia_(Umbilia)_eximia	extinct	11.63	15.98
Umbilia_(Umbilia)_eximia	extinct	5.333	11.63
Cypraea	extinct	5.333	23.04
Schilderia_amygdalum	extinct	20.45	23.04
Mandolina_rhomboidalis	extinct	20.45	23.04
Trona_leporina	extinct	20.45	23.04
Zonarina_pinguis	extinct	20.45	23.04
Schilderia_subannularia	extinct	20.45	23.04
Lyncina_magnifica	extinct	20.45	23.04
Prozonarina_expansa	extinct	20.45	23.04
Jousseaumea_diluviana	extinct	20.45	23.04
