time	diversity	m_div	M_div
56.07127036166138	29.0	29.0	29.0
56.17139763016434	28.0	28.0	28.0
56.27152489866731	28.0	28.0	28.0
56.371652167170275	27.0	27.0	27.0
56.47177943567324	27.0	27.0	27.0
56.57190670417621	27.0	27.0	27.0
56.67203397267917	25.0	25.0	25.0
56.77216124118215	25.0	25.0	25.0
56.87228850968511	24.0	24.0	24.0
56.97241577818808	24.0	24.0	24.0
57.072543046691045	24.0	24.0	24.0
57.17267031519401	25.0	25.0	25.0
57.27279758369698	25.0	25.0	25.0
57.372924852199944	26.0	26.0	26.0
57.47305212070291	25.0	25.0	25.0
57.573179389205876	23.0	23.0	23.0
57.67330665770884	23.0	23.0	23.0
57.77343392621181	23.0	23.0	23.0
57.873561194714775	23.0	23.0	23.0
57.97368846321774	23.0	23.0	23.0
58.073815731720714	23.0	23.0	23.0
58.17394300022368	23.0	23.0	23.0
58.274070268726646	23.0	23.0	23.0
58.37419753722961	23.0	23.0	23.0
58.47432480573258	22.0	22.0	22.0
58.574452074235545	22.0	22.0	22.0
58.67457934273851	21.0	21.0	21.0
58.77470661124148	21.0	21.0	21.0
58.87483387974444	20.0	20.0	20.0
58.97496114824741	20.0	20.0	20.0
59.075088416750376	19.0	19.0	19.0
59.17521568525334	19.0	19.0	19.0
59.275342953756315	19.0	19.0	19.0
59.37547022225928	19.0	19.0	19.0
59.47559749076225	19.0	19.0	19.0
59.57572475926521	19.0	19.0	19.0
59.67585202776818	19.0	19.0	19.0
59.775979296271146	19.0	19.0	19.0
59.87610656477411	19.0	19.0	19.0
59.97623383327708	19.0	19.0	19.0
60.076361101780044	18.0	18.0	18.0
60.17648837028301	18.0	18.0	18.0
60.27661563878598	16.0	16.0	16.0
60.37674290728894	16.0	16.0	16.0
60.476870175791916	16.0	16.0	16.0
60.57699744429488	16.0	16.0	16.0
60.67712471279785	16.0	16.0	16.0
60.777251981300815	16.0	16.0	16.0
60.87737924980378	16.0	16.0	16.0
60.97750651830675	17.0	17.0	17.0
61.07763378680971	17.0	17.0	17.0
61.17776105531268	17.0	17.0	17.0
61.277888323815645	17.0	17.0	17.0
61.37801559231861	19.0	19.0	19.0
61.47814286082158	19.0	19.0	19.0
61.578270129324544	18.0	18.0	18.0
61.67839739782752	18.0	18.0	18.0
61.77852466633048	18.0	18.0	18.0
61.87865193483345	19.0	19.0	19.0
61.978779203336416	18.0	18.0	18.0
62.07890647183938	17.0	17.0	17.0
62.17903374034235	17.0	17.0	17.0
62.279161008845314	15.0	15.0	15.0
62.37928827734828	15.0	15.0	15.0
62.479415545851246	15.0	15.0	15.0
62.57954281435421	15.0	15.0	15.0
62.67967008285718	15.0	15.0	15.0
62.779797351360145	15.0	15.0	15.0
62.87992461986312	16.0	16.0	16.0
62.980051888366084	16.0	16.0	16.0
63.08017915686905	16.0	16.0	16.0
63.18030642537202	16.0	16.0	16.0
63.28043369387498	16.0	16.0	16.0
63.38056096237795	16.0	16.0	16.0
63.480688230880915	15.0	15.0	15.0
63.58081549938388	15.0	15.0	15.0
63.68094276788685	15.0	15.0	15.0
63.78107003638981	15.0	15.0	15.0
63.88119730489278	14.0	14.0	14.0
63.981324573395746	14.0	14.0	14.0
64.08145184189871	14.0	14.0	14.0
64.18157911040169	14.0	14.0	14.0
64.28170637890464	14.0	14.0	14.0
64.38183364740762	13.0	13.0	13.0
64.48196091591058	13.0	13.0	13.0
64.58208818441355	12.0	12.0	12.0
64.68221545291651	12.0	12.0	12.0
64.78234272141948	11.0	11.0	11.0
64.88246998992246	11.0	11.0	11.0
64.98259725842541	11.0	11.0	11.0
65.08272452692839	11.0	11.0	11.0
65.18285179543135	11.0	11.0	11.0
65.28297906393432	11.0	11.0	11.0
65.38310633243728	11.0	11.0	11.0
65.48323360094025	10.0	10.0	10.0
65.58336086944321	9.0	9.0	9.0
65.68348813794618	8.0	8.0	8.0
65.78361540644914	8.0	8.0	8.0
65.88374267495212	8.0	8.0	8.0
65.98386994345509	7.0	7.0	7.0
66.08399721195805	8.0	8.0	8.0
66.18412448046102	8.0	8.0	8.0
66.28425174896398	8.0	8.0	8.0
66.38437901746696	8.0	8.0	8.0
66.48450628596991	8.0	8.0	8.0
66.58463355447289	8.0	8.0	8.0
66.68476082297585	9.0	9.0	9.0
66.78488809147882	8.0	8.0	8.0
66.88501535998178	8.0	8.0	8.0
66.98514262848475	8.0	8.0	8.0
67.08526989698771	8.0	8.0	8.0
67.18539716549068	9.0	9.0	9.0
67.28552443399366	8.0	8.0	8.0
67.38565170249662	8.0	8.0	8.0
67.48577897099959	8.0	8.0	8.0
67.58590623950255	8.0	8.0	8.0
67.68603350800552	7.0	7.0	7.0
67.78616077650848	7.0	7.0	7.0
67.88628804501145	8.0	8.0	8.0
67.98641531351441	7.0	7.0	7.0
68.08654258201739	8.0	8.0	8.0
68.18666985052035	7.0	7.0	7.0
68.28679711902332	7.0	7.0	7.0
68.38692438752629	7.0	7.0	7.0
68.48705165602925	8.0	8.0	8.0
68.58717892453222	8.0	8.0	8.0
68.68730619303518	8.0	8.0	8.0
68.78743346153816	8.0	8.0	8.0
68.88756073004112	8.0	8.0	8.0
68.98768799854409	7.0	7.0	7.0
69.08781526704705	7.0	7.0	7.0
69.18794253555002	7.0	7.0	7.0
69.28806980405298	7.0	7.0	7.0
69.38819707255595	8.0	8.0	8.0
69.48832434105891	7.0	7.0	7.0
69.58845160956189	7.0	7.0	7.0
