it	posterior	likelihood	prior	lik_L_149-0	lik_M_149-0	l0_t149-0	m0_t149-0	Gl_t149-0	Gm_t149-0	hp_rate	hp_sig2	beta
72000	-2821.901479972296	-2818.828850297664	-3.0726296746322053	-1488.7729053264318	-1330.0559449712318	0.17405247847957714	0.13405049520082885	-0.3773583633589861	-1.4830484629364316	1.3846384383043484	2.854126101751471	1.0
73000	-2822.1347353002548	-2818.0426686904984	-4.092066609756411	-1487.7562763370165	-1330.286392353482	0.1685476814889699	0.12515609479374828	-0.5609077457995797	-1.6242066482597046	0.7228419385707987	1.3642974322641832	1.0
74000	-2822.0882046219645	-2818.2542763016904	-3.8339283202738406	-1488.614416305793	-1329.6398599958975	0.1568132141921323	0.13570277620262108	-0.5249671536944241	-1.176848550753882	0.6051180846009048	0.8533366102381088	1.0
75000	-2822.557912249186	-2820.692341644202	-1.8655706049840286	-1491.1768173820042	-1329.5155242621977	0.17691119303973968	0.13482975976305112	-0.9008596236372453	-1.2246941328904721	2.8593243753544155	0.7731991334174376	1.0
76000	-2823.15392209585	-2820.4439165867307	-2.7100055091192883	-1490.4346238372225	-1330.0092927495084	0.16328312327231082	0.12822513614586542	-1.0773292536633403	-1.1499448819482114	1.6478862342880105	0.7250970537722563	1.0
77000	-2822.4837894324523	-2819.257351886251	-3.2264375462016046	-1488.904956734007	-1330.3523951522436	0.17704508504407168	0.12138247580014255	-0.4837376391286095	-1.5237433494966086	1.1102941496234147	1.5820372237905744	1.0
78000	-2821.543328675528	-2818.3912043818705	-3.152124293657253	-1488.8953933036312	-1329.4958110782393	0.17708371846004875	0.13331574338769742	-0.5154430434189282	-1.1998957787970155	0.9172341183807846	0.7164337545136732	1.0
79000	-2819.2861884266827	-2817.7429649044434	-1.5432235222390542	-1487.9595804297205	-1329.7833844747227	0.1688723937923418	0.1289038309602593	-0.4752618757892336	-1.523255825059351	3.8773090577048377	1.5624439088899174	1.0
80000	-2819.9164484247667	-2817.761972646478	-2.1544757782886235	-1488.1974347273167	-1329.5645379191615	0.1563956448566789	0.12902973485561636	-0.7228588688573836	-1.2325800562511966	2.487303675108606	2.9553629401423476	1.0
81000	-2821.4728968716045	-2818.1890014782875	-3.2838953933168504	-1488.6707677179293	-1329.5182337603583	0.16993304368642942	0.1283668620022796	-0.34524967191275624	-1.2719711494891242	1.3133658190794129	3.979573930318699	1.0
82000	-2820.8783504702114	-2819.675912315891	-1.202438154320378	-1489.4401498791933	-1330.2357624366973	0.15944765318669066	0.13039346961481754	-0.34456200621526906	-1.0672442831765878	2.799582734702848	0.4361717009012118	1.0
83000	-2821.7125235951253	-2817.9149147115477	-3.797608883577724	-1488.42314367456	-1329.4917710369875	0.16795221551200862	0.12840581092678077	-0.3777484874600866	-1.4362774212250828	2.9812820460094254	0.23396510467526974	1.0
84000	-2820.5501556410222	-2818.2384473570846	-2.3117082839374348	-1487.8574921464142	-1330.3809552106707	0.15920792895620337	0.126721580914027	-0.6932802240837559	-1.6395070582018414	2.3196781430347806	1.237148775519823	1.0
85000	-2824.4621915129524	-2818.338609661041	-6.123581851911384	-1488.8542848113866	-1329.4843248496543	0.15407692057454905	0.1329545788431071	-0.8760920783260656	-1.2033572559326438	0.24072345224483957	0.5780228463698036	1.0
86000	-2819.2194188812828	-2817.8670613447725	-1.3523575365102025	-1488.5137799403342	-1329.3532814044383	0.1686721136269299	0.1308323861048301	-0.36455144914011123	-1.3417221961043309	3.5877880542567615	1.2422431388838426	1.0
87000	-2819.727021745357	-2817.465902292472	-2.2611194528849294	-1488.0779992014727	-1329.3879030909993	0.1586517123590516	0.1326793822431131	-0.5821952344592939	-1.265133142566567	1.7657184213747419	0.6714613266192039	1.0
88000	-2823.0790399579687	-2821.345337460952	-1.7337024970164117	-1488.6113673060881	-1332.733970154864	0.1624121837611231	0.13028482385016674	-0.39264280517087646	-0.815598434579266	1.5260494097861186	0.23520546220962496	1.0
89000	-2822.04421122288	-2819.6877297307265	-2.356481492153977	-1489.2248568144025	-1330.4628729163242	0.16452004291163946	0.1303540034309198	-0.2965012126026072	-1.0360417850748695	1.8976915127662843	0.20583012214583213	1.0
90000	-2822.1748544547086	-2818.3857862092436	-3.789068245465159	-1488.095170290549	-1330.2906159186944	0.16933129124230328	0.1384241936538679	-0.7258588811509927	-1.0374685874171339	1.2329216932755662	0.23234595317614903	1.0
91000	-2821.329118946322	-2818.0642898277874	-3.2648291185347675	-1487.8160963408154	-1330.248193486972	0.16892800490174303	0.13310569414595466	-0.6463126200207456	-1.031446925127449	1.0682651986984806	0.3060812950232286	1.0
92000	-2820.746240482679	-2818.8484914698506	-1.8977490128280228	-1489.1425921226905	-1329.70589934716	0.17707843192003886	0.13310129843051707	-0.6429696893912343	-1.1328063620233446	2.623930242603982	0.4108351611787347	1.0
93000	-2820.344641682092	-2817.540359889973	-2.8042817921191485	-1488.1263580029567	-1329.4140018870164	0.17224735592655296	0.1311769338471343	-0.6003723386290749	-1.3859466254024653	1.4329528434960828	0.7258069209217027	1.0
94000	-2826.3953123960564	-2824.2251441135886	-2.1701682824679684	-1492.9779291559084	-1331.2472149576802	0.18840507551577707	0.1368788972481413	-0.6565261212192228	-0.8885393464143035	2.030000793471466	0.24440066927942133	1.0
95000	-2822.429542343535	-2820.063211431515	-2.3663309120202727	-1487.6758129984328	-1332.387398433082	0.16215357977160558	0.14296808875269437	-0.6172942198675428	-0.7973610410799746	1.1180356515038539	0.344276361772	1.0
96000	-2821.03614070365	-2819.750052358735	-1.2860883449146323	-1488.312467842043	-1331.437584516692	0.15571191354427413	0.14440474212200638	-0.6931882286755598	-0.966344954890238	3.17475720421022	0.42653213740539014	1.0
97000	-2819.361603122393	-2817.413098887597	-1.9485042347962025	-1487.8833322724438	-1329.5297666151532	0.16993313668076387	0.13154938888890605	-0.5328654846194875	-1.1936616919645981	2.2609552146263225	1.7935505812697865	1.0
98000	-2821.6871930261154	-2819.310453843931	-2.3767391821845223	-1487.7781715170486	-1331.5322823268825	0.1646874290616262	0.13383023080714787	-0.5211197524455469	-0.8743682684185008	1.0984795985720723	0.7396244937431676	1.0
99000	-2819.447010995537	-2817.7098114384153	-1.7371995571216208	-1487.8455079161988	-1329.8643035222167	0.16234688759111124	0.13712776790511733	-0.76903944041185	-1.1253154529914762	2.4555600537667974	0.7223801186630389	1.0
100000	-2824.31376433354	-2818.172821048981	-6.14094328455887	-1488.4475556188872	-1329.725265430094	0.16204061465931416	0.13695896835811272	-0.4215385656520565	-1.1916027895649663	0.2770445449451717	4.346093778859081	1.0
101000	-2825.311972540017	-2823.1474469640316	-2.164525575985563	-1489.9360958209086	-1333.2113511431232	0.18020932453162217	0.129642471962679	-0.3432549134200128	-0.790194763431726	1.396256420347493	1.3251939890475186	1.0
102000	-2819.814890330829	-2818.0225768317496	-1.7923134990794114	-1488.54399976072	-1329.4785770710293	0.1637911382349046	0.13265925151397026	-0.384298366400374	-1.2054908501046262	2.7394567113769974	0.3736363288012882	1.0
103000	-2823.7108838722543	-2821.4750290020856	-2.2358548701686543	-1487.9275767165145	-1333.5474522855714	0.17071656964184506	0.11225289481026435	-0.5599981254100082	-1.7996063716260449	2.888477566333951	1.1143888446985943	1.0
104000	-2825.194480144807	-2820.3892840702856	-4.805196074521646	-1488.8821584547477	-1331.507125615538	0.17657317019971155	0.12174623580527465	-0.4459272264314973	-1.7813142908119413	0.5394456267533776	1.2498240411801944	1.0
105000	-2821.9242109474094	-2818.4516839099924	-3.4725270374169535	-1488.2698020004336	-1330.1818819095586	0.16913379614646787	0.1383160284524702	-0.40658525251705013	-1.0606892048004437	0.6469867314942684	0.5970099272973384	1.0
106000	-2821.36959972176	-2818.7594476347535	-2.610152087006507	-1489.16986832871	-1329.5895793060436	0.17349629342436684	0.12845372422977616	-0.7890491932004846	-1.2421229004380612	1.4871719250888056	1.4425162054283664	1.0
107000	-2821.0102824960863	-2818.528064433832	-2.4822180622546015	-1488.2466814330714	-1330.2813830007603	0.1661488646558904	0.13215240323056968	-0.8192102322995001	-1.560368184622613	2.051106618471151	1.2314306668022366	1.0
108000	-2821.5311803155864	-2817.701608981628	-3.829571333958448	-1487.7268575260405	-1329.9747514555877	0.1616116772998668	0.12444923243818691	-0.6036528343735076	-1.5433875275786078	0.967561984879882	3.522196139694605	1.0
109000	-2819.6283217531027	-2817.879568722812	-1.7487530302907306	-1487.830384649143	-1330.049184073669	0.16154198552959917	0.13857118392505527	-0.5601588494145271	-1.3013738065373683	4.03984693700022	3.2660088683986053	1.0
110000	-2821.9307724610508	-2818.6874206848047	-3.243351776245981	-1487.8027745235659	-1330.8846461612388	0.16490996090298615	0.14263251715973102	-0.5117856362080263	-1.2713543944279497	0.9684306528175702	0.6120276420878646	1.0
111000	-2820.671823510509	-2818.398832463823	-2.272991046686162	-1488.5354338700581	-1329.863398593765	0.16301018221670477	0.13321291848767317	-0.3948555346485568	-1.4690043243572213	2.5294103904210146	3.286321399980659	1.0
112000	-2820.799838702603	-2817.4945226372297	-3.3053160653735585	-1487.9141563512187	-1329.580366286011	0.1605968246275173	0.12650164863147567	-0.5608399378817106	-1.436030663199521	1.0302888256400582	1.709330829161364	1.0
113000	-2821.434874815106	-2817.431049487446	-4.003825327659845	-1487.658393880863	-1329.772655606583	0.16605475181810314	0.12847335606662016	-0.5689257297571848	-1.5234818906074397	0.7932185453316671	0.756402738504381	1.0
114000	-2823.897802977926	-2818.9947452635924	-4.903057714333491	-1488.7655833081494	-1330.2291619554428	0.16488393497122775	0.12194329603874224	-0.34511186427264673	-1.4313511665385215	0.45152309030148213	2.4803753733788305	1.0
115000	-2819.1960505494676	-2817.434293205873	-1.761757343594609	-1487.6897912446716	-1329.7445019612014	0.1676764769460837	0.1361039777767175	-0.6102141307333964	-1.339065588305581	3.2290060051620793	0.6048374644042398	1.0
116000	-2820.100516379061	-2818.0848495784458	-2.0156668006152763	-1488.6798478624594	-1329.4050017159866	0.17179193101366463	0.13044212314047743	-0.357610901312255	-1.2627340352253786	1.852019025516353	0.8687262604055369	1.0
117000	-2823.6995511425157	-2817.471682843253	-6.227868299262601	-1487.9764352070524	-1329.4952476362007	0.15812872104761425	0.13122399535516796	-0.6735867514562046	-1.2094807110094172	0.7306710816260941	0.18245132027054448	1.0
118000	-2820.150157864339	-2817.3284144767586	-2.821743387580399	-1487.911171819881	-1329.4172426568778	0.16380211508138925	0.13076672955355198	-0.7812120808481893	-1.394238191863045	1.4002782180730369	1.2987803737383041	1.0
119000	-2822.2010925582485	-2819.6223926029443	-2.5786999553040704	-1489.264553905788	-1330.3578386971562	0.17828604267989406	0.12977110832597272	-0.4201067510542794	-1.060687009115716	1.3967689359243347	0.2965698341320782	1.0
120000	-2822.1577259912688	-2818.336638611211	-3.8210873800577625	-1488.1305484164504	-1330.2060901947607	0.16309648045091854	0.1353794952148087	-0.458060751282007	-1.0289393483338423	1.2716666851490726	7.376668899164146	1.0
121000	-2821.470590315767	-2820.478147967824	-0.9924423479427325	-1487.6883185777392	-1332.7898293900848	0.16330603744981304	0.12938465183972195	-0.7120438574422902	-0.8261023219469061	3.22026656794614	0.8879969154772002	1.0
122000	-2818.816795826505	-2817.257999676327	-1.5587961501776477	-1487.8070243189698	-1329.4509753573575	0.1650858900936991	0.13319730781888967	-0.5092735092905778	-1.221994552346018	3.5421065302233576	0.4300665338605738	1.0
123000	-2823.9453973895534	-2822.267479027156	-1.6779183623974614	-1490.5520356357881	-1331.7154433913674	0.16771692117159293	0.12931227029068207	-0.15787508164842096	-0.9177441292081678	1.6401356808951497	0.2519425502701904	1.0
