occurrence_no;record_type;reid_no;flags;collection_no;accepted_name;accepted_attr;accepted_rank;accepted_no;early_interval;late_interval;max_ma;min_ma
580800;occ;NA;NA;61110;Zonaria tumulus;NA;species;249757;Chattian;Aquitanian;27.03;20.45
581381;occ;NA;NA;60415;Cypraea;NA;genus;9724;Early Pliocene;;5.333;3.6
581883;occ;NA;NA;60412;Cypraea;NA;genus;9724;Early Pliocene;;5.333;3.6
583168;occ;NA;NA;61339;Cypraeidae;NA;family;60047;Piacenzian;;3.6;2.58
589977;occ;NA;NA;62295;Erronea (Adusta) onyx;NA;species;342323;Late Pliocene;;3.6;2.58
597065;occ;NA;NA;63288;Cypraea;NA;genus;9724;Middle Miocene;;15.98;11.63
597066;occ;NA;NA;63288;Cypraea;NA;genus;9724;Middle Miocene;;15.98;11.63
597067;occ;NA;NA;63288;Cypraea;NA;genus;9724;Middle Miocene;;15.98;11.63
597076;occ;NA;NA;63292;Cypraea;NA;genus;9724;Middle Miocene;;15.98;11.63
597210;occ;NA;NA;63300;Cypraea;NA;genus;9724;Middle Miocene;;15.98;11.63
597236;occ;NA;NA;63312;Cypraea;NA;genus;9724;Middle Miocene;;15.98;11.63
597237;occ;NA;NA;63312;Cypraea;NA;genus;9724;Middle Miocene;;15.98;11.63
597245;occ;NA;NA;63309;Zoila;NA;genus;10703;Middle Miocene;;15.98;11.63
597281;occ;NA;NA;63318;Monetaria annulus;NA;species;60022;Late Pleistocene;;0.129;0.0117
597368;occ;NA;NA;63321;Mauritia eglantina;NA;species;60030;Late Pleistocene;;0.129;0.0117
597369;occ;NA;NA;63321;Cypraea (Mauritia) histrio;NA;species;305620;Late Pleistocene;;0.129;0.0117
597410;occ;NA;NA;63317;Erronea errones;NA;species;60032;Late Pleistocene;;0.129;0.0117
597855;occ;NA;NA;63356;Cypraea (Erosaria) caputserpentis;NA;species;147494;Late Pleistocene;;0.129;0.0117
597856;occ;NA;NA;63356;Cypraea (Erosaria) helvola;NA;species;60034;Late Pleistocene;;0.129;0.0117
597857;occ;NA;NA;63356;Naria erosa;NA;species;60031;Late Pleistocene;;0.129;0.0117
597858;occ;NA;NA;63356;Mauritia eglantina;NA;species;60030;Late Pleistocene;;0.129;0.0117
597859;occ;NA;NA;63356;Pustularia cicercula;NA;species;170606;Late Pleistocene;;0.129;0.0117
599691;occ;NA;NA;63442;Umbilia (Umbilia) hesitata;NA;species;84140;Late Miocene;;11.63;5.333
599734;occ;NA;NA;63703;Umbilia (Umbilia) hesitata;NA;species;84140;Late Pliocene;;3.6;2.58
599735;occ;NA;NA;63702;Umbilia (Umbilia) hesitata;NA;species;84140;Late Pliocene;;3.6;2.58
