it	posterior	prior	BD_lik	k_birth	k_death	RJ_hp	root_age	death_age	tot_length
108000	-2750.2024054719923	-69.421920592168	-2680.780484879824	6	5	3.801384810542353	147.7878483103789	0.0	3256.3355761243356
109000	-2741.6213592627487	-74.42841853342281	-2667.192940729326	6	6	6.555733360237058	147.7878483103789	0.0	3256.3355761243356
110000	-2754.1872247217316	-76.10884730989312	-2678.0783774118386	7	6	5.507012736615948	147.7878483103789	0.0	3256.3355761243356
111000	-2746.020217309148	-77.14813908695459	-2668.8720782221935	6	6	2.71531322498354	147.7878483103789	0.0	3256.3355761243356
112000	-2755.7090171384093	-81.61097998518194	-2674.0980371532273	7	6	4.998591095148694	147.7878483103789	0.0	3256.3355761243356
113000	-2743.2001559630908	-69.0027948447777	-2674.197361118313	6	5	4.317354505475977	147.7878483103789	0.0	3256.3355761243356
114000	-2742.559854087682	-81.54553222788138	-2661.014321859801	6	6	3.777053977637128	147.7878483103789	0.0	3256.3355761243356
115000	-2744.083440098253	-81.03851777114346	-2663.0449223271094	6	6	4.684548470846828	147.7878483103789	0.0	3256.3355761243356
116000	-2740.4766192074662	-75.49055705308098	-2664.9860621543853	6	6	4.809310756784215	147.7878483103789	0.0	3256.3355761243356
117000	-2740.1327038095037	-72.7569272011846	-2667.375776608319	6	6	3.4665764476535346	147.7878483103789	0.0	3256.3355761243356
118000	-2746.7871988900038	-83.85793286445397	-2662.9292660255496	7	6	4.7779721442763625	147.7878483103789	0.0	3256.3355761243356
119000	-2747.088838841003	-72.72148232382425	-2674.367356517179	6	5	4.4921954909659885	147.7878483103789	0.0	3256.3355761243356
120000	-2749.2440888733745	-70.48430858164178	-2678.7597802917326	6	5	3.3960437018112515	147.7878483103789	0.0	3256.3355761243356
121000	-2745.7930394097734	-78.78845269294823	-2667.004586716825	6	6	4.590338692487914	147.7878483103789	0.0	3256.3355761243356
122000	-2745.960910932722	-73.69032251075528	-2672.2705884219667	6	6	4.565164146853222	147.7878483103789	0.0	3256.3355761243356
123000	-2745.3975962517748	-75.62339521277485	-2669.7742010389998	6	6	4.219175795737483	147.7878483103789	0.0	3256.3355761243356
124000	-2754.880816596783	-78.01325278716716	-2676.867563809616	6	6	5.0517952430497335	147.7878483103789	0.0	3256.3355761243356
125000	-2744.5314370338715	-72.36708280992546	-2672.1643542239462	6	5	3.2120177548965754	147.7878483103789	0.0	3256.3355761243356
126000	-2740.4661812429786	-74.83152844141627	-2665.6346528015624	6	6	3.2874922471614134	147.7878483103789	0.0	3256.3355761243356
